
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) BUKE_GPS    324376.363        1.161              1.161              11.450
2) BIKL_GPS    269557.631        0.965              2.126              21.276
3) KOEP_GPS    176191.718        0.631              2.757              17.323
4) YAPE_GPS    163104.044        0.584              3.341              13.048
5) ENDE_GPS    153952.010        0.551              3.892              32.862
6) CEDU_GPS    134802.471        0.483              4.375              13.376
7) NUSA_GPS    133332.349        0.477              4.852              3.080
8) TUAL_GPS    129940.074        0.465              5.317              5.613
9) LIRA_GPS    127742.994        0.457              5.775              13.275
10) MLOS_GPS    120589.456        0.432              6.206              2.402
11) SNTR_GPS    119342.696        0.427              6.634              2.688
12) MENA_GPS    118760.408        0.425              7.059              1.870
13) NISI_GPS    115024.524        0.412              7.471              8.197
14) ARHA_GPS    106718.086        0.382              7.853              8.090
15) TMKA_GPS    106413.225        0.381              8.234              21.022
16) TID1_GPS    103410.170        0.370              8.604              7.139
17) AKYR_GPS    101270.614        0.363              8.967              4.050
18) SRMI_GPS    99717.342        0.357              9.324              20.684
19) ANOP_GPS    99684.966        0.357              9.680              1.059
20) YAMA_GPS    99050.901        0.355              10.035              8.428
21) KARR_GPS    96890.775        0.347              10.382              23.308
22) 3032_GPS    96243.853        0.345              10.726              4.972
23) METH_GPS    96178.236        0.344              11.071              5.366
24) ALIC_GPS    96110.304        0.344              11.415              15.728
25) KOK0_GPS    95717.836        0.343              11.758              7.172
26) GVD0_GPS    93348.269        0.334              12.092              7.183
27) MAUM_GPS    93105.884        0.333              12.425              16.399
28) IMPH_GPS    92395.609        0.331              12.756              9.416
29) STR1_GPS    89954.110        0.322              13.078              7.208
30) MKEA_GPS    84827.684        0.304              13.382              6.819
31) XRSO_GPS    83401.324        0.299              13.680              4.277
32) TOW2_GPS    83170.635        0.298              13.978              11.518
33) ADE1_GPS    83002.312        0.297              14.275              11.097
34) AUCK_GPS    81135.803        0.290              14.566              4.140
35) KERI_GPS    79351.852        0.284              14.850              6.351
36) KERI_GPS    77364.183        0.277              15.127              5.704
37) SKIN_GPS    74960.248        0.268              15.395              7.521
